0,1,2,3,4,5,6,7,8,9,10
vinegar,dog food,,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
onions,root vegetables,,,,,,,,,
yogurt,mustard,,,,,,,,,
UHT-milk,flower soil/fertilizer,salty snack,,,,,,,,
sausage,yogurt,,,,,,,,,
liver loaf,pip fruit,,,,,,,,,
berries,hygiene articles,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
pork,yogurt,,,,,,,,,
yogurt,coffee,coffee,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
chewing gum,cake bar,,,,,,,,,
cream cheese ,candy,,,,,,,,,
rolls/buns,root vegetables,domestic eggs,ice cream,,,,,,,
sausage,pastry,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
pastry,citrus fruit,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
whole milk,shopping bags,,,,,,,,,
yogurt,whole milk,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
soda,other vegetables,bottled water,white bread,frozen meals,onions,bottled beer,margarine,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
specialty bar,pastry,,,,,,,,,
chocolate,dessert,flour,,,,,,,,
chicken,roll products ,,,,,,,,,
citrus fruit,soda,,,,,,,,,
sausage,sliced cheese,ice cream,long life bakery product,,,,,,,
herbs,soda,frozen vegetables,,,,,,,,
tropical fruit,rolls/buns,root vegetables,,,,,,,,
cream cheese ,bottled water,rolls/buns,,,,,,,,
processed cheese,dog food,frozen potato products,,,,,,,,
whole milk,semi-finished bread,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
soda,onions,cream cheese ,,,,,,,,
finished products,bottled beer,,,,,,,,,
misc. beverages,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
hamburger meat,root vegetables,fruit/vegetable juice,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
frankfurter,canned beer,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
dessert,butter,,,,,,,,,
processed cheese,rolls/buns,canned fish,,,,,,,,
other vegetables,rolls/buns,sweet spreads,,,,,,,,
sausage,cream cheese ,,,,,,,,,
coffee,tropical fruit,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
meat,domestic eggs,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
pip fruit,citrus fruit,curd,,,,,,,,
bottled beer,whole milk,,,,,,,,,
chicken,vinegar,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
cat food,whipped/sour cream,,,,,,,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
chicken,bottled water,,,,,,,,,
whole milk,newspapers,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
pork,yogurt,,,,,,,,,
dog food,canned beer,,,,,,,,,
zwieback,bottled water,,,,,,,,,
ready soups,pastry,,,,,,,,,
zwieback,citrus fruit,,,,,,,,,
whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
shopping bags,curd,,,,,,,,,
sausage,beef,,,,,,,,,
canned beer,root vegetables,pudding powder,processed cheese,,,,,,,
root vegetables,instant coffee,,,,,,,,,
liquor,butter milk,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
ice cream,curd,,,,,,,,,
meat,meat,whole milk,cling film/bags,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
pastry,specialty bar,flour,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
whole milk,newspapers,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
meat,ham,,,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
butter milk,margarine,,,,,,,,,
soda,cream cheese ,,,,,,,,,
beef,tropical fruit,,,,,,,,,
decalcifier,whole milk,,,,,,,,,
sugar,whole milk,fruit/vegetable juice,,,,,,,,
yogurt,root vegetables,,,,,,,,,
frozen meals,beef,,,,,,,,,
other vegetables,soda,,,,,,,,,
pork,herbs,,,,,,,,,
berries,curd,,,,,,,,,
hard cheese,sugar,bottled water,,,,,,,,
sausage,ice cream,,,,,,,,,
white bread,brown bread,,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
ketchup,whole milk,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
curd,whipped/sour cream,margarine,,,,,,,,
canned beer,yogurt,curd cheese,pastry,,,,,,,
other vegetables,cat food,,,,,,,,,
pastry,whole milk,,,,,,,,,
liquor (appetizer),candy,misc. beverages,,,,,,,,
beverages,rice,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
salty snack,white wine,,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
root vegetables,tropical fruit,,,,,,,,,
organic sausage,whipped/sour cream,,,,,,,,,
chicken,soda,,,,,,,,,
canned fruit,brown bread,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
pastry,waffles,napkins,,,,,,,,
mustard,fruit/vegetable juice,,,,,,,,,
beef,pastry,whole milk,,,,,,,,
flower soil/fertilizer,butter milk,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
sausage,cat food,,,,,,,,,
chocolate,yogurt,other vegetables,,,,,,,,
root vegetables,newspapers,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
rolls/buns,other vegetables,curd,spread cheese,candles,,,,,,
mustard,curd cheese,,,,,,,,,
rolls/buns,butter,,,,,,,,,
canned beer,pip fruit,sugar,,,,,,,,
grapes,whole milk,,,,,,,,,
soda,brown bread,,,,,,,,,
hamburger meat,whole milk,pet care,meat,other vegetables,rolls/buns,grapes,oil,,,
sugar,fruit/vegetable juice,,,,,,,,,
waffles,brown bread,,,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
semi-finished bread,yogurt,,,,,,,,,
chicken,canned beer,frozen vegetables,whipped/sour cream,,,,,,,
pork,rolls/buns,,,,,,,,,
beef,pasta,,,,,,,,,
softener,margarine,,,,,,,,,
chocolate,shopping bags,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
domestic eggs,root vegetables,semi-finished bread,curd,,,,,,,
whole milk,other vegetables,,,,,,,,,
meat,rolls/buns,frozen potato products,,,,,,,,
whole milk,sugar,,,,,,,,,
photo/film,frankfurter,other vegetables,curd,waffles,,,,,,
sausage,berries,,,,,,,,,
candles,whole milk,,,,,,,,,
pip fruit,white wine,sweet spreads,,,,,,,,
whole milk,bottled water,,,,,,,,,
newspapers,frozen dessert,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
softener,soda,,,,,,,,,
sausage,sausage,pastry,tropical fruit,whole milk,white wine,sweet spreads,whole milk,,,
whole milk,chocolate,,,,,,,,,
oil,whipped/sour cream,,,,,,,,,
ham,brown bread,,,,,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
pork,candles,,,,,,,,,
soda,frozen meals,,,,,,,,,
whipped/sour cream,candy,whole milk,,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
whole milk,tropical fruit,margarine,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
bottled beer,butter,frozen vegetables,whole milk,,,,,,,
sausage,chicken,,,,,,,,,
sausage,newspapers,salty snack,soda,,,,,,,
rolls/buns,whole milk,,,,,,,,,
citrus fruit,dessert,,,,,,,,,
whole milk,candy,,,,,,,,,
frankfurter,hard cheese,bottled beer,,,,,,,,
tropical fruit,dessert,,,,,,,,,
soups,coffee,,,,,,,,,
berries,white bread,,,,,,,,,
whole milk,butter milk,,,,,,,,,
pork,yogurt,soda,,,,,,,,
rolls/buns,waffles,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
fruit/vegetable juice,rolls/buns,chocolate,,,,,,,,
shopping bags,other vegetables,coffee,,,,,,,,
pastry,brown bread,,,,,,,,,
seasonal products,white bread,specialty chocolate,soda,,,,,,,
soda,other vegetables,,,,,,,,,
shopping bags,rice,,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
whipped/sour cream,shopping bags,soda,,,,,,,,
pork,processed cheese,,,,,,,,,
pork,frozen vegetables,frozen meals,other vegetables,popcorn,oil,,,,,
whole milk,onions,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
root vegetables,yogurt,whole milk,,,,,,,,
whole milk,sugar,,,,,,,,,
semi-finished bread,spices,,,,,,,,,
whole milk,salty snack,,,,,,,,,
citrus fruit,soda,white bread,,,,,,,,
chicken,bottled water,,,,,,,,,
sausage,soda,,,,,,,,,
other vegetables,liquor,whole milk,butter milk,,,,,,,
turkey,meat,rolls/buns,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
whipped/sour cream,toilet cleaner,,,,,,,,,
beef,pet care,,,,,,,,,
pip fruit,curd,pip fruit,prosecco,,,,,,,
whole milk,rolls/buns,,,,,,,,,
rolls/buns,chocolate,,,,,,,,,
pork,root vegetables,,,,,,,,,
sliced cheese,beverages,other vegetables,napkins,,,,,,,
butter,chewing gum,,,,,,,,,
liver loaf,onions,,,,,,,,,
canned beer,soda,white bread,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
dessert,coffee,,,,,,,,,
fruit/vegetable juice,napkins,,,,,,,,,
fruit/vegetable juice,tropical fruit,,,,,,,,,
whole milk,brown bread,,,,,,,,,
butter milk,waffles,,,,,,,,,
whole milk,sauces,,,,,,,,,
chicken,pip fruit,,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
instant coffee,berries,,,,,,,,,
newspapers,soups,,,,,,,,,
frozen meals,dental care,,,,,,,,,
sausage,curd,margarine,,,,,,,,
berries,pasta,soda,canned vegetables,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
other vegetables,other vegetables,,,,,,,,,
pip fruit,grapes,pastry,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
beef,butter,,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
ham,rolls/buns,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
chicken,other vegetables,pastry,onions,,,,,,,
bottled beer,canned fish,,,,,,,,,
onions,long life bakery product,,,,,,,,,
tropical fruit,candy,,,,,,,,,
soda,other vegetables,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pork,newspapers,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
tropical fruit,pork,,,,,,,,,
newspapers,specialty chocolate,,,,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
brown bread,newspapers,margarine,,,,,,,,
cat food,soda,,,,,,,,,
pet care,pastry,red/blush wine,,,,,,,,
canned beer,organic products,whole milk,frozen dessert,misc. beverages,,,,,,
whole milk,soft cheese,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
bottled water,tropical fruit,,,,,,,,,
whole milk,spread cheese,popcorn,,,,,,,,
whole milk,oil,,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
baking powder,brown bread,,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
soda,yogurt,,,,,,,,,
tropical fruit,salt,,,,,,,,,
ham,root vegetables,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
ice cream,napkins,,,,,,,,,
rolls/buns,candy,white bread,,,,,,,,
misc. beverages,rice,soda,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
sparkling wine,butter,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
fish,tropical fruit,red/blush wine,cream cheese ,,,,,,,
soda,misc. beverages,,,,,,,,,
whole milk,citrus fruit,napkins,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
whole milk,curd,hygiene articles,,,,,,,,
frankfurter,canned beer,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,other vegetables,butter,,,,,,,,
whole milk,butter,,,,,,,,,
newspapers,pastry,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
brown bread,newspapers,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
ham,whole milk,artif. sweetener,,,,,,,,
pork,pastry,,,,,,,,,
sausage,herbs,,,,,,,,,
yogurt,rolls/buns,soda,,,,,,,,
newspapers,canned beer,,,,,,,,,
tropical fruit,sausage,beef,yogurt,long life bakery product,yogurt,cream cheese ,processed cheese,,,
sausage,other vegetables,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
chicken,pork,newspapers,,,,,,,,
whole milk,onions,,,,,,,,,
other vegetables,dessert,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
brown bread,canned beer,,,,,,,,,
fruit/vegetable juice,packaged fruit/vegetables,,,,,,,,,
cream,frankfurter,soda,UHT-milk,,,,,,,
red/blush wine,bottled beer,yogurt,pip fruit,mustard,,,,,,
root vegetables,bottled water,,,,,,,,,
zwieback,tropical fruit,,,,,,,,,
yogurt,curd,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
butter,photo/film,,,,,,,,,
turkey,shopping bags,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,pork,,,,,,,,,
dishes,tropical fruit,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pip fruit,pastry,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
beverages,cake bar,cake bar,frozen meals,,,,,,,
berries,other vegetables,butter,newspapers,,,,,,,
bottled water,chocolate,,,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
butter,bottled water,bottled water,,,,,,,,
nuts/prunes,brown bread,newspapers,,,,,,,,
frozen meals,cream cheese ,,,,,,,,,
canned beer,grapes,whole milk,dessert,,,,,,,
bottled beer,candy,,,,,,,,,
red/blush wine,domestic eggs,,,,,,,,,
pork,napkins,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
whole milk,whole milk,,,,,,,,,
ham,specialty chocolate,soft cheese,,,,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
other vegetables,whole milk,,,,,,,,,
red/blush wine,pip fruit,,,,,,,,,
canned beer,hard cheese,,,,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
beverages,shopping bags,,,,,,,,,
yogurt,chocolate,,,,,,,,,
beef,candy,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
pip fruit,shopping bags,white wine,pet care,,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
whole milk,berries,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
bottled beer,candy,,,,,,,,,
canned vegetables,root vegetables,cake bar,,,,,,,,
tropical fruit,coffee,newspapers,,,,,,,,
whole milk,whole milk,,,,,,,,,
pip fruit,soda,brown bread,,,,,,,,
onions,cream cheese ,dishes,,,,,,,,
ham,whole milk,sliced cheese,baking powder,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
other vegetables,bottled beer,rolls/buns,shopping bags,,,,,,,
berries,fruit/vegetable juice,cream cheese ,tropical fruit,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
sugar,bottled water,,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,house keeping products,,,,,,
root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
other vegetables,yogurt,salty snack,,,,,,,,
napkins,brown bread,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
waffles,white bread,,,,,,,,,
bottled beer,red/blush wine,,,,,,,,,
newspapers,frozen vegetables,long life bakery product,,,,,,,,
sausage,cream cheese ,,,,,,,,,
dishes,other vegetables,pastry,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
sausage,cat food,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
jam,brown bread,yogurt,,,,,,,,
curd,margarine,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
canned beer,soda,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
rolls/buns,rolls/buns,specialty bar,,,,,,,,
yogurt,coffee,,,,,,,,,
yogurt,male cosmetics,sugar,salt,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
sliced cheese,candy,,,,,,,,,
waffles,whole milk,shopping bags,flour,shopping bags,,,,,,
chicken,spread cheese,,,,,,,,,
whole milk,grapes,bottled beer,frozen dessert,,,,,,,
soda,onions,,,,,,,,,
berries,other vegetables,,,,,,,,,
dishes,dessert,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
rolls/buns,semi-finished bread,dessert,yogurt,,,,,,,
pip fruit,salty snack,yogurt,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
canned vegetables,fish,,,,,,,,,
whole milk,newspapers,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
sausage,white bread,,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
soda,dish cleaner,,,,,,,,,
newspapers,margarine,bottled beer,coffee,,,,,,,
bottled beer,sugar,popcorn,,,,,,,,
newspapers,other vegetables,,,,,,,,,
chicken,onions,white bread,,,,,,,,
hamburger meat,pork,,,,,,,,,
sausage,root vegetables,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
citrus fruit,canned beer,rolls/buns,whole milk,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
misc. beverages,bottled beer,other vegetables,cream cheese ,,,,,,,
yogurt,soda,,,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
whole milk,waffles,chocolate,,,,,,,,
other vegetables,photo/film,newspapers,,,,,,,,
root vegetables,salt,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
rolls/buns,tropical fruit,bottled beer,UHT-milk,newspapers,,,,,,
oil,cake bar,,,,,,,,,
bags,yogurt,soda,,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,white wine,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
beef,soda,,,,,,,,,
yogurt,pastry,chewing gum,butter milk,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
root vegetables,bottled beer,newspapers,margarine,domestic eggs,shopping bags,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
coffee,hard cheese,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
frankfurter,pet care,,,,,,,,,
pastry,frozen dessert,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
other vegetables,margarine,,,,,,,,,
pastry,canned beer,,,,,,,,,
baking powder,soda,,,,,,,,,
domestic eggs,whole milk,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
dog food,curd,,,,,,,,,
misc. beverages,bottled beer,,,,,,,,,
other vegetables,curd,,,,,,,,,
other vegetables,white bread,,,,,,,,,
tropical fruit,sparkling wine,cat food,,,,,,,,
napkins,canned vegetables,,,,,,,,,
beef,coffee,,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
other vegetables,mustard,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
frozen fish,tropical fruit,,,,,,,,,
sausage,spread cheese,specialty bar,soda,,,,,,,
finished products,yogurt,bottled beer,bottled water,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
UHT-milk,candles,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
root vegetables,mustard,,,,,,,,,
whole milk,curd,bottled beer,newspapers,,,,,,,
bottled water,cooking chocolate,,,,,,,,,
berries,waffles,,,,,,,,,
pork,cleaner,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,sugar,,,,,,,,,
pork,onions,,,,,,,,,
rolls/buns,pickled vegetables,chocolate,whole milk,,,,,,,
chicken,root vegetables,,,,,,,,,
pip fruit,soda,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
whole milk,yogurt,long life bakery product,,,,,,,,
pork,root vegetables,,,,,,,,,
herbs,yogurt,prosecco,,,,,,,,
ice cream,whole milk,,,,,,,,,
whole milk,pork,,,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
other vegetables,rolls/buns,,,,,,,,,
canned beer,beverages,specialty bar,other vegetables,make up remover,specialty chocolate,curd,,,,
pip fruit,frozen fish,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
beef,spices,,,,,,,,,
ham,whole milk,other vegetables,soda,white bread,tropical fruit,sugar,,,,
whole milk,other vegetables,rice,,,,,,,,
finished products,popcorn,,,,,,,,,
cream cheese ,chocolate marshmallow,spread cheese,pastry,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
coffee,sugar,,,,,,,,,
jam,root vegetables,,,,,,,,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
sausage,whole milk,misc. beverages,specialty bar,soda,,,,,,
UHT-milk,other vegetables,,,,,,,,,
pip fruit,margarine,specialty cheese,,,,,,,,
pastry,bottled water,candles,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
whole milk,grapes,root vegetables,shopping bags,,,,,,,
white bread,flour,,,,,,,,,
chewing gum,pastry,pastry,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
root vegetables,frozen fruits,waffles,,,,,,,,
soda,coffee,salty snack,,,,,,,,
rolls/buns,whole milk,napkins,fruit/vegetable juice,mustard,,,,,,
flower soil/fertilizer,rolls/buns,yogurt,ice cream,whipped/sour cream,,,,,,
frankfurter,rolls/buns,,,,,,,,,
yogurt,butter milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
grapes,grapes,,,,,,,,,
tropical fruit,meat,whole milk,candles,,,,,,,
chicken,butter milk,sugar,,,,,,,,
newspapers,shopping bags,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
cling film/bags,napkins,,,,,,,,,
pork,other vegetables,,,,,,,,,
meat,domestic eggs,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
ham,domestic eggs,,,,,,,,,
beef,onions,,,,,,,,,
beverages,bottled beer,domestic eggs,chocolate,,,,,,,
whole milk,cream cheese ,,,,,,,,,
other vegetables,fruit/vegetable juice,oil,detergent,,,,,,,
bottled beer,other vegetables,root vegetables,cream cheese ,waffles,rolls/buns,,,,,
sausage,cream cheese ,,,,,,,,,
canned beer,long life bakery product,dish cleaner,candy,,,,,,,
whole milk,rolls/buns,,,,,,,,,
berries,red/blush wine,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
tropical fruit,flour,,,,,,,,,
chewing gum,other vegetables,,,,,,,,,
other vegetables,curd,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
pet care,photo/film,,,,,,,,,
whole milk,berries,yogurt,,,,,,,,
packaged fruit/vegetables,long life bakery product,,,,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,canned beer,,,,,,,
root vegetables,soups,,,,,,,,,
bottled beer,frankfurter,UHT-milk,pot plants,,,,,,,
cake bar,shopping bags,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
tropical fruit,frozen dessert,newspapers,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
butter,other vegetables,,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
onions,chicken,,,,,,,,,
meat,pip fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
baby cosmetics,bottled water,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
grapes,yogurt,frozen potato products,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
tropical fruit,other vegetables,frozen meals,pastry,,,,,,,
beef,whole milk,newspapers,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
newspapers,white bread,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
yogurt,sausage,domestic eggs,other vegetables,nut snack,shopping bags,,,,,
tropical fruit,rolls/buns,,,,,,,,,
ham,canned beer,salty snack,,,,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
frozen meals,pickled vegetables,,,,,,,,,
ham,whole milk,,,,,,,,,
sausage,pet care,,,,,,,,,
butter milk,margarine,,,,,,,,,
curd,misc. beverages,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
root vegetables,whole milk,whole milk,newspapers,bottled water,,,,,,
beef,waffles,domestic eggs,,,,,,,,
hard cheese,napkins,bottled water,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
sausage,canned beer,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
finished products,liquor,,,,,,,,,
margarine,frozen vegetables,baking powder,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
rolls/buns,onions,,,,,,,,,
frankfurter,ice cream,soda,,,,,,,,
butter,grapes,bottled water,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
beef,spread cheese,bottled water,waffles,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
frankfurter,dishes,rolls/buns,,,,,,,,
baking powder,bottled water,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
beef,ketchup,pork,hygiene articles,,,,,,,
frankfurter,whole milk,grapes,butter,semi-finished bread,,,,,,
sausage,curd cheese,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
oil,chicken,,,,,,,,,
